id,word,symbol,class,meaning,example,level
24,ability,/əˈbɪləti/,,n. 能力；才能,Everyone has the ability to learn new skills if they work hard enough.（2023 上海中考）,150+
25,bacterium,/bækˈtɪərɪəm/,,n. 细菌,This kind of bacterium can be killed by high temperature easily.（2024 上海中考模拟）,150+
26,campaign,/kæmˈpeɪn/,,n. 运动；活动；,Our school started a campaign to protect the environment last month.（2021 上海中考）,150+
27,damp,/dæmp/,,adj. 潮湿的,The clothes are still damp because it rained heavily last night.（2024 上海中考模拟）,150+
28,earthquake,/ˈɜːθkweɪk /,,n. 地震,People should learn how to protect themselves when an earthquake happens.（2022 上海中考）,150+
29,faith,/feɪθ/,,n. 信心,We should have faith in ourselves when we face challenges in study.（2023 上海中考）,150+
30,gather,/ˈɡæðə(r)/,,v. 聚集；收集,All the students gather at the school gate at 7:30 a.m. every school day.（2024 上海中考）,150+
31,hang,/hæŋ/,,v. 悬挂；吊死,People like to hang red lanterns at home during the Spring Festival.（2021 上海中考）,150+
32,imagine,/ɪˈmædʒɪn/,,v. 想象,You can imagine how excited we were when we won the basketball match.（2022 上海中考）,150+
33,journalist,/ˈdʒɜːnəlɪst/,,n. 新闻记者,A journalist from a local newspaper came to interview our head teacher.（2024 上海中考模拟）,150+
34,laughter,/ˈlɑːftə(r)/,,n. 笑声,Laughter can always make us feel relaxed when we are tired.（2023 上海中考）,150+
35,magazine,/ˌmæɡəˈziːn/,,n. 杂志,I like reading a fashion magazine in my free time after finishing homework.（2024 上海中考）,150+
36,nation,/ˈneɪʃ(ə)n/,,n. 民族；国家,Our nation is becoming more and more powerful in the world.（2021 上海中考）,150+
37,object,/ˈɒbdʒɪkt; əbˈdʒekt/,,n. 物体；目标,My little sister likes to play with small objects like toy dolls and blocks.（2024 上海中考模拟）,150+
38,painful,/ˈpeɪnf(ə)l/,,adj. 疼痛的,It was painful for her to leave her hometown and move to another city.（2024 上海中考模拟）,150+
39,qualified,/ˈkwɒlɪfaɪd/,,adj. 合格的,She is a qualified English teacher with fifteen years' teaching experience.（2024 上海中考模拟）,150+
40,radiation,/ˌreɪdiˈeɪʃn/,,n. 放射（物）；辐射,We should keep away from the radiation of electronic products at night.（2024 上海中考模拟）,150+
41,sale,/seɪl/,,n. 销售（额）,Many kinds of clothes are on sale in the shopping mall on National Day.（2022 上海中考）,150+
42,target,/ˈtɑːɡɪt/,,n. 目标；靶子,We set a clear target to improve our English grades this term.（2023 上海中考）,150+
43,uncertain,/ʌnˈsɜːt(ə)n/,,adj. 不确定的,It is uncertain whether we will have a school trip this month or not.（2024 上海中考）,150+
44,vacant,/ˈveɪkənt/,,adj.空的;空闲的;,There is a vacant room in the building next to our community center.（2024 上海中考模拟）,150+
45,weak,/wiːk/,,adj. 虚弱的,She is still weak after being ill in bed for a whole week.（2021 上海中考）,150+
46,abnormal,/æbˈnɔːm(ə)l/,,adj. 不正常的,His abnormal behavior made his teachers and parents feel very worried.（2024 上海中考模拟）,150+
47,bargain,/ˈbɑːɡən/,,n. 便宜货,My mother likes to bargain when she buys fruits in the local market.（2022 上海中考模拟）,150+
48,cancel,/ˈkæns(ə)l/,,v. 放弃；取消；,We have to cancel the sports meeting because of the bad weather forecast.（2023 上海中考）,150+
49,data,/ˈdeɪtə/,,n. 数据,We need to collect more data for our science project in the lab.（2024 上海中考）,150+
50,eastern,/ˈiːstən/,,adj. 东方的,The sun rises in the eastern part of the sky every morning.（2021 上海中考）,150+
51,false,/fɔːls/,,adj. 假的；伪造的,Don't tell a false story to your friends and family.（2022 上海中考）,150+
52,general,/ˈdʒen(ə)rəl/,,adj.一般的；总的,Can you tell me the general idea of this English passage quickly?（2023 上海中考）,150+
53,hardship,/ˈhɑːdʃɪp/,,n. 困难；困苦,We should learn to face hardship bravely in our daily life.（2024 上海中考）,150+
54,impossible,/ɪmˈpɒsəb(ə)l,,/adj. 不可能的,Nothing is impossible if you put your whole heart into it.（2021 上海中考）,150+
55,judgement,/ˈdʒʌdʒmənt/,,n. 判断,You should make a wise judgement before you make an important decision.（2024 上海中考模拟）,150+
56,lawyer,/ˈlɔɪə(r)/,,n. 律师,Her uncle works as a lawyer in a big law firm in Shanghai.（2024 上海中考模拟）,150+
57,magic,/ˈmædʒɪk/,,n. 魔法,The children watched the magic show with great interest last weekend.（2022 上海中考）,150+
58,native,/ˈneɪtɪv/,,adj. 本土的；天生的,He is a native of Shanghai and knows every corner of the city well.（2023 上海中考）,150+
59,observe,/əbˈzɜːv/,,v. 观察；遵守；,We need to observe the changes of the plant carefully in our biology class.（2024 上海中考）,150+
60,panic,/ˈpænɪk/,,n. & v. 恐慌,Don't panic when you are in trouble; just keep calm and think.（2021 上海中考）,150+
61,quality,/ˈkwɒləti/,,n. 质量；品德,This kind of apple has a good quality and tastes very sweet.（2022 上海中考）,150+
62,rag,/ræɡ/,,n. 破衣服；抹布,She used a clean rag to wipe the desk after finishing her homework.（2024 上海中考模拟）,150+
63,satisfaction,/ˌsætɪsˈfækʃn,,/n. 满意,He looked at his finished homework with great satisfaction.（2023 上海中考）,150+
64,taste,/teɪst/,,v. 品尝,This kind of ice cream has a sweet taste and is popular among kids.（2024 上海中考）,150+
65,unbelievable,/ˌʌnbɪˈliːvəbl/,,adj.难以置信,It's unbelievable that he finished the difficult work in such a short time.（2021 上海中考）,150+
66,vain,/veɪn/,,adj.徒劳无功的,All his efforts to pass the exam were in vain because he was too careless.（2024 上海中考模拟）,150+
67,wander,/ˈwɒndə(r)/,,v. 漫步；徘徊,We like to wander in the park near our home after dinner every day.（2024 上海中考模拟）,150+
68,abolish,/əˈbɒlɪʃ/,,v. 废除；废止,The school decided to abolish the old school rule last semester.（2024 上海中考模拟）,150+
69,barrier,/ˈbæriə(r)/,,n. 屏障;障碍物,There is a big barrier between the two roads near the railway station.（2024 上海中考模拟）,150+
70,candidate,/ˈkændɪdət/,,n. 候选人,He is an excellent candidate for the monitor of our class.（2024 上海中考模拟）,150+
71,deadline,/ˈdedlaɪn/,,n. 最后期限,We must finish our project before the deadline this Friday.（2022 上海中考）,150+
72,ecology,/iˈkɒlədʒi/,,n. 生态；生态学,We should learn more about ecology to protect our earth better.（2023 上海中考）,150+
73,fancy,/ˈfænsi/,,n. & v. 想象力;,She has a fancy for beautiful paintings and visits art museums often.（2024 上海中考模拟）,150+
74,generation,/ˌdʒenəˈreɪʃn,,/n. 一代；一代人,This traditional story is popular among different generations of people.（2024 上海中考）,150+
75,harmful,/ˈhɑːmf(ə)l/,,adj. 有害的,"Smoking is harmful to our health, so we should never try it.（2021 上海中考）",150+
76,impress,/ɪmˈpres/,,v. 给…留下印象,The beautiful view of the Bund impressed me a lot when I first saw it.（2022 上海中考）,150+
77,jungle,/ˈdʒʌŋɡ(ə)l/,,n. 丛林,There are many kinds of rare animals living in the jungle in the south.（2024 上海中考模拟）,150+
78,leak,/liːk/,,v. 泄露n. 漏洞,The water pipe in the kitchen began to leak and my father fixed it quickly.（2024 上海中考模拟）,150+
79,main,/meɪn/,,adj. 主要的,The main reason for his success is his hard work and persistence.（2023 上海中考）,150+
80,natural,/ˈnætʃrəl/,,adj. 自然的,We should protect the natural environment around us every day.（2024 上海中考）,150+
81,obtain,/əbˈteɪn/,,v. 获得；得到,You can obtain more information about the activity on the school website.（2021 上海中考）,100+
82,paragraph,/ˈpærəɡrɑːf/,,n. 段落,Please read the first paragraph of the passage and answer the question.（2022 上海中考）,100+
83,quantity,/ˈkwɒntəti/,,n. 数量,We need to check the quantity of the books before we leave the library.（2024 上海中考模拟）,100+
84,rainfall,/ˈreɪnfɔːl/,,n. 降雨量,The heavy rainfall last week caused some problems in the city.（2023 上海中考）,100+
85,satisfy,/ˈsætɪsfaɪ/,,v. 使满意,We should try our best to satisfy our parents' expectations of us.（2024 上海中考）,100+
86,tease,/tiːz/,,v. 戏弄；嘲弄,Don't tease your classmates about their looks or hobbies.（2021 上海中考）,100+
87,undertake,/ˌʌndəˈteɪk/,,v. 承担着手做;同意,He is ready to undertake the important work for our class.（2024 上海中考模拟）,100+
88,valid,/ˈvælɪd/,,adj.有效的;合理的;,This ticket is valid for three days from the day you buy it.（2024 上海中考模拟）,100+
89,warn,/wɔːn/,,v. 警告；告诫,Our teacher always warns us not to play near the river after school.（2022 上海中考）,100+
90,abroad,/əˈbrɔːd/,,adv. 在国外;到国外,Many students in our school go abroad to study after finishing high school.（2023 上海中考）,100+
91,beach,/biːtʃ/,,n. 海滩；河岸,We had a great time playing on the beach during the summer vacation.（2024 上海中考）,100+
92,carbon,/ˈkɑːbən/,,n. 碳,Too much carbon in the air is bad for the earth's environment.（2021 上海中考）,100+
93,debate,/dɪˈbeɪt/,,v. 讨论；辩论；争论,The students had a hot debate about the topic in the English class.（2022 上海中考）,100+
94,edition,/ɪˈdɪʃ(ə)n/,,n. 版本,This is the latest edition of the English dictionary we need for study.（2023 上海中考）,100+
95,fantasy,/ˈfæntəsi/,,n. 幻想,The little boy has a rich fantasy and likes to make up stories.（2024 上海中考模拟）,100+
96,generous,/ˈdʒenərəs/,,adj. 慷慨的；大方的,She is a generous girl and always shares her things with her friends.（2024 上海中考）,100+
97,harmony,/ˈhɑːməni/,,n. 和谐；协调,We should live in harmony with all the living things on the earth.（2021 上海中考）,100+
98,improve,/ɪmˈpruːv/,,v. 提高；改善,I want to improve my spoken English by practicing every day.（2022 上海中考）,100+
99,junior,/ˈdʒuːniə(r)/,,n. 较年少者,He is a junior high school student and studies in Grade Eight now.（2023 上海中考）,100+
100,legal,/ˈliːɡ(ə)l/,,adj. 合法的,It is legal to buy books and stationery in the regular store.（2024 上海中考模拟）,100+
101,major,/ˈmeɪdʒə(r)/,,adj. 较大的,I want to choose science as my major when I go to high school.（2023 上海中考）,100+
102,nature,/ˈneɪtʃə(r)/,,n. 自然（界）,We should love and protect the nature around us deeply.（2022 上海中考）,100+
103,obvious,/ˈɒbviəs/,,adj. 明显的,It is obvious that he has made great progress in his English study.（2024 上海中考）,100+
104,parcel,/ˈpɑːs(ə)l/,,n. 包裹,My mother received a parcel from my aunt who lives in Beijing.（2024 上海中考模拟）,100+
105,quarrel,/ˈkwɒrəl/,,v. 争吵,We should not quarrel with our friends over small things in life.（2021 上海中考）,100+
106,rank,/ræŋk/,,n. & v. 排名,He won the first rank in the English competition of our grade.（2024 上海中考模拟）,100+
107,scare,/skeə(r)/,,v. 使……受惊吓,Don't be scared of the dark; it's just a normal feeling.（2022 上海中考模拟）,100+
108,technical,/ˈteknɪk(ə)l/,,adj. 技术的,This factory needs some workers with technical skills to operate the machines.（2024 上海中考模拟）,100+
109,unemployment,/ˌʌnɪmˈplɔɪmənt/,,n. 失业,The government is trying to solve the unemployment problem in the city.（2023 上海中考模拟）,100+
110,valley,/ˈvæli/,,n. 山谷；峡谷,There is a beautiful valley at the foot of the mountain in the suburbs.（2024 上海中考模拟）,100+
111,waste,/weɪst/,,v. 浪费n. 废物,We should not waste water because it is a precious resource.（2021 上海中考）,100+
112,aboard,/əˈbɔːd/,,adv. 上（船、飞机等）,All the passengers went aboard the train before it started to move.（2023 上海中考）,100+
113,behavior,/bɪˈheɪvjə(r)/,,n. 行为；表现,Good behavior is very important for every student at school.（2022 上海中考）,100+
114,carve,/kɑːv/,,v. 雕刻,He likes to carve small animals with wood in his spare time.（2024 上海中考模拟）,100+
115,debt,/det/,,n. 债务；欠债,His father is trying to pay off the debt by working hard every day.（2024 上海中考模拟）,100+
116,editor,/ˈedɪtə(r)/,,n. 编辑,She dreams of becoming an editor in a famous publishing house in the future.（2024 上海中考模拟）,100+
117,fare,/feə(r)/,,n. 车费；费用,How much is the fare from Shanghai to Suzhou by high-speed rail?（2021 上海中考）,100+
118,gentle,/ˈdʒent(ə)l/,,adj. 温顺的；文雅的,My teacher is a gentle woman and always talks to us patiently.（2023 上海中考）,100+
119,harvest,/ˈhɑːvɪst/,,n. & v. 收获,The farmers are busy with the harvest in the field in autumn.（2022 上海中考）,100+
120,incident,/ˈɪnsɪdənt/,,n. 事件,"A small incident happened on the street, but no one got hurt.（2024 上海中考模拟）",100+
121,justice,/ˈdʒʌstɪs/,,n. 公正；公平,Everyone hopes to live in a world with justice and peace.（2023 上海中考）,100+
122,level,/ˈlev(ə)l/,,n. 水平,The water level of the river rose a lot after the heavy rain.（2024 上海中考）,100+
123,majority,/məˈdʒɒrəti/,,n. 大多数,The majority of the students in our class like playing basketball after school.（2021 上海中考）,100+
124,necessary,/ˈnesəsəri/,,adj. 必要的,It is necessary for us to do exercise for an hour every day.（2022 上海中考）,100+
125,occupation,/ˌɒkjuˈpeɪʃ(ə)n/,,n. 工作，职业,His father's occupation is a doctor in a big hospital in Shanghai.（2024 上海中考模拟）,100+
126,parking,/ˈpɑːkɪŋ/,,n. 停车（处）,No parking is allowed in front of the school gate at any time.（2023 上海中考）,100+
127,quit,/kwɪt/,,v. 放弃；停止,You should not quit learning English even if it is a little difficult.（2024 上海中考）,100+
128,rapid,/ˈræpɪd/,,adj. 迅速的,The river flows at a rapid speed after the heavy rainfall.（2024 上海中考模拟）,100+
129,scene,/siːn/,,n. 场面；景色,We saw a happy scene of children playing in the park yesterday.（2021 上海中考）,100+
130,technique,/tekˈniːk/,,n. 技术；技能,He learned a new painting technique from his art teacher last week.（2022 上海中考）,100+
131,unfair,/ˌʌnˈfeə(r)/,,adj. 不公平的,It is unfair to judge a person only by his or her appearance.（2023 上海中考）,100+
132,valuable,/ˈvæljuəbl/,,adj. 有价值的；贵重的,Time is the most valuable thing in our life and we should cherish it.（2024 上海中考）,100+
133,wave,/weɪv/,,n. 波浪v. 挥动,We can see the wave on the sea when the wind blows strongly.（2021 上海中考模拟）,100+
134,absence,/ˈæbsəns/,,n. 缺席,His absence from school made his teacher very worried about him.（2024 上海中考模拟）,100+
135,behalf,/bɪˈhɑːf/,,n. 代表；利益,I am speaking on behalf of all the students in our class today.（2023 上海中考）,100+
136,casual,/ˈkæʒuəl/,,adj.偶然的;非正式的,He is a casual person and never cares about small details in life.（2024 上海中考模拟）,100+
137,declare,/dɪˈkleə(r)/,,v. 声明；宣布,The government will declare a new policy to protect the environment soon.（2022 上海中考模拟）,100+
138,educate,/ˈedʒukeɪt/,,v. 教育,It is important to educate children to be kind to all living things.（2021 上海中考）,100+
139,fasten,/ˈfɑːs(ə)n/,,v. 系牢,Please fasten your seat belt when you take a plane or a car.（2023 上海中考）,100+
140,gesture,/ˈdʒestʃə(r)/,,n. 手势；姿势,She made a friendly gesture to me when she saw me on the street.（2024 上海中考模拟）,100+
141,horrible,/ˈhɒrəb(ə)l/,,adj. 可怕的,I think the horror movie is too horrible to watch alone at night.（2022 上海中考）,100+
142,include,/ɪnˈkluːd/,,v. 包括,"This plan will include all the students in our grade, not just a few.（2024 上海中考）",100+
143,liberty,/ˈlɪbəti/,,n. 自由,People all over the world hope to have liberty and happiness.（2024 上海中考模拟）,100+
144,manage,/ˈmænɪdʒ/,,v. 经营;管理;做成,You need to learn to manage your time well when you are in junior high school.（2021 上海中考）,100+
145,neither,/ˈnaɪðə(r)/,,,Neither my father nor my mother likes to watch sports games on TV.（2022 上海中考）,100+
146,occur,/əˈkɜː(r)/,,v. 出现；发生,Accidents may occur if you don't obey the traffic rules on the road.（2023 上海中考）,100+
147,participate,/pɑːˈtɪsɪpeɪt/,,v. 参加；参与,All the students can participate in the school sports meeting freely.（2024 上海中考）,100+
148,rare,/reə(r)/,,adj. 罕见的,It is rare to see snow in Shanghai in winter these years.（2021 上海中考）,100+
149,schedule,/ˈʃedjuːl/,,n. 日程安排， 时间表,We need to make a study schedule to improve our learning efficiency.（2022 上海中考）,100+
150,temperature,/ˈtemprətʃə(r)/,,n. 温度,The temperature in Shanghai is very high in the middle of summer.（2023 上海中考）,100+
151,union,/ˈjuːniən/,,n. 协会；同盟,All the countries formed a union to deal with the global environmental problem.（2024 上海中考模拟）,100+
152,variety,/vəˈraɪəti/,,n. 变化；多样性,There are a variety of beautiful flowers in the park in spring.（2021 上海中考）,100+
153,wealth,/welθ/,,n. 财富,Health is more important than wealth for every person in the world.（2022 上海中考）,100+
154,absolute,/ˈæbsəluːt/,,adj. 完全的；绝对的,You must tell the absolute truth to your parents and teachers at any time.（2024 上海中考模拟）,100+
155,belief,/bɪˈliːf/,,n. 信念；信心,I have a strong belief that I can pass the English exam with good grades.（2023 上海中考）,100+
156,category,/ˈkætəɡəri/,,n. 种类；类别,This kind of book belongs to the history category in the library.（2024 上海中考模拟）,100+
157,decline,/dɪˈklaɪn/,,v. 婉拒;下降;衰退,The number of wild animals will decline if we don't protect them.（2024 上海中考）,100+
158,effect,/ɪˈfekt/,,n. 影响；效果,The bad weather had a great effect on our school trip last weekend.（2021 上海中考）,100+
159,feast,/fiːst/,,n. 宴会,People in China like to have a feast with family during the Spring Festival.（2022 上海中考）,100+
160,glance,/ɡlɑːns/,,v. 瞥一眼,He took a quick glance at the clock and hurried to school for class.（2024 上海中考模拟）,100+
161,honor,/ˈɒnə(r)/,,n.&v. 荣耀;敬重,It is a great honor to represent our school to take part in the competition.（2023 上海中考）,100+
162,increase,/ɪnˈkriːs/,,v. 增加；提高,The number of students in our school will increase next semester.（2024 上海中考）,100+
163,limit,/ˈlɪmɪt/,,n. & v. 限制；极限,We need to limit the time we spend on electronic products every day.（2021 上海中考）,100+
164,mark,/mɑːk/,,n. 痕迹v. 标明,Please mark the important sentences with a red pen in the passage.（2022 上海中考）,100+
165,noble,/ˈnəʊb(ə)l/,,adj. 高贵的,He is a noble man who always helps the poor people around him.（2024 上海中考模拟）,100+
166,ocean,/ˈəʊʃ(ə)n/,,n. 海洋,The Pacific Ocean is the largest ocean in the whole world.（2023 上海中考）,100+
167,particular,/pəˈtɪkjələ(r)/,,adj. 特殊的；,She is very particular about her food and never eats junk food.（2024 上海中考模拟）,100+
168,rate,/reɪt/,,n. 比率；价格,What is the exchange rate between RMB and US dollars today?（2024 上海中考模拟）,100+
169,scholar,/ˈskɒlə(r)/,,n. 学者,He is a famous scholar who has written many important books.（2024 上海中考模拟）,100+
170,temple,/ˈtemp(ə)l/,,n. 庙宇,Many tourists come to visit the old temple in Shanghai every year.（2021 上海中考模拟）,100+
171,unite,/juˈnaɪt/,,v. 团结；统一,We should unite together to overcome the difficulties in our study.（2022 上海中考）,100+
172,various,/ˈveəriəs/,,adj. 各种各样的,There are various kinds of activities in our school after class.（2023 上海中考）,100+
173,weep,/wiːp/,,v. 流泪,She couldn't help but weep when she heard the sad news yesterday.（2024 上海中考模拟）,100+
174,absorb,/əbˈzɔːb/,,v. 吸收,Plants can absorb carbon dioxide from the air and release oxygen.（2021 上海中考）,100+
175,bend,/bend/,,v. 使弯曲；使屈服,Don't bend the ruler because it is a new one from my mother.（2024 上海中考模拟）,100+
176,caution,/ˈkɔːʃn/,,n. 小心；谨慎,We should exercise caution when we cross the busy street alone.（2023 上海中考）,100+
177,decoration,/ˌdekəˈreɪʃn/,,n. 装饰,We made some beautiful decoration for the classroom for New Year's Day.（2022 上海中考）,100+
178,effort,/ˈefət/,,n. 努力,You need to make an effort to learn English well every day.（2024 上海中考）,100+
179,fence,/fens/,,n. 栅栏,There is a small fence around the garden in front of the house.（2024 上海中考模拟）,100+
180,glare,/ɡleə(r)/,,v. 怒目而视,The glare of the sun made me close my eyes immediately.（2024 上海中考模拟）,100+
181,independence,/ˌɪndɪˈpendəns,,/n. 独立,We all hope to have independence when we grow up in the future.（2023 上海中考模拟）,100+
182,link,/lɪŋk/,,v. 连接；联系,This road is the only link between the village and the city outside.（2024 上海中考模拟）,100+
183,mask,/mɑːsk/,,n. 面具,He wears a mask when he goes out because of the heavy smog.（2021 上海中考）,100+
184,nod,/nɒd/,,n. 点头,He gave a nod to me to show that he agreed with my idea.（2022 上海中考模拟）,100+
185,offence,/əˈfens/,,n. 冒犯,It is an offence to break the traffic rules in the city center.（2023 上海中考）,100+
186,partly,/ˈpɑːtli/,,adv. 部分地,This task is partly finished and we need to work harder to complete it.（2024 上海中考模拟）,100+
187,reach,/riːtʃ/,,v. 到达,I can't reach the book on the top shelf because I am too short.（2021 上海中考）,100+
188,scientific,/ˌsaɪənˈtɪfɪk/,,adj. 科学的,We did a scientific experiment in the lab with our teacher yesterday.（2022 上海中考）,100+
189,temporary,/ˈtemprəri/,,adj. 暂时的；,We live in a temporary house because our new house is being built.（2024 上海中考模拟）,100+
190,unrest,/ʌnˈrest/,,n. 不安；骚动,"There was some unrest in the area, but it soon became calm again.（2024 上海中考模拟）",100+
191,vast,/vɑːst/,,adj. 广阔的；巨大的,There is a vast forest in the northeast of our country.（2023 上海中考模拟）,100+
192,weigh,/weɪ/,,v. 称…的重量;重;权衡,Can you help me weigh this box to see how heavy it is?（2024 上海中考模拟）,100+
193,abstract,/ˈæbstrækt/,,adj. 抽象的,It is difficult for me to understand the abstract idea in the article.（2024 上海中考模拟）,100+
194,beneath,/bɪˈniːθ/,,prep. 在……下面,The ground beneath our feet shook a little during the small earthquake.（2024 上海中考模拟）,100+
195,cautious,/ˈkɔːʃəs/,,adj. 小心谨慎的,You should be cautious when you make friends with strangers online.（2023 上海中考）,100+
196,decrease,/dɪˈkriːs/,,v. 减少,The price of the fruit will decrease in autumn when it is in season.（2024 上海中考）,100+
197,elect,/ɪˈlekt/,,v. 选举,People will elect a new monitor for our class next Monday.（2024 上海中考模拟）,100+
198,globe,/ɡləʊb/,,n. 地球；地球仪,We can see the whole globe on the map in our geography class.（2021 上海中考）,100+
199,indicate,/ˈɪndɪkeɪt/,,v. 暗示；表明,The red light on the machine indicates that it is not working well.（2022 上海中考）,100+
200,liquid,/ˈlɪkwɪd/,,n. 液体,Water is a kind of liquid that is necessary for all living things.（2023 上海中考）,100+
201,fetch,/fetʃ/,,v. （去）取来,"Could you fetch me a glass of water from the kitchen, please?（2021 上海中考模拟）",100+
202,match,/mætʃ/,,n. 竞赛v. 匹配,The red tie is a perfect match for your white shirt today.（2022 上海中考）,100+
203,normal,/ˈnɔːm(ə)l/,,adj. 正常的,It is normal to feel nervous before an important exam.（2024 上海中考）,100+
204,official,/əˈfɪʃ(ə)l/,,n. 官员,An official from the government came to visit our school last week.（2023 上海中考模拟）,100+
205,passage,/ˈpæsɪdʒ/,,n. 通道；船费,We walked through a dark passage to get to the other side of the building.（2024 上海中考模拟）,100+
206,react,/riˈækt/,,v. 反应；起作用,He will react to the news as soon as he hears it from us.（2024 上海中考模拟）,100+
207,score,/skɔː(r)/,,n. & v. 成绩；得分,He got a high score in the math exam and his parents were very happy.（2021 上海中考）,100+
208,tend,/tend/,,v. 倾向；趋于,Plants tend to grow towards the sun in the daytime.（2024 上海中考模拟）,100+
209,update,/ˌʌpˈdeɪt/,,v. 更新；升级,We need to update our computer system to make it work faster.（2023 上海中考模拟）,100+
210,version,/ˈvɜːʃ(ə)n/,,n. 版本；看法,This is the latest version of the English textbook we use at school.（2022 上海中考）,100+
211,welfare,/ˈwelfeə(r)/,,n. 福利,The government is trying to improve the social welfare of the people.（2024 上海中考模拟）,100+
212,abundant,/əˈbʌndənt/,,adj.充裕的;大量的,There is an abundant supply of fresh fruit in the market in summer.（2024 上海中考模拟）,100+
213,benefit,/ˈbenɪfɪt/,,n. & v. 利益；有益于,Eating more vegetables will bring great benefit to our health.（2021 上海中考）,100+
214,celebrate,/ˈselɪbreɪt/,,v. 庆祝,People in China celebrate the Spring Festival in many different ways.（2022 上海中考）,100+
215,defeat,/dɪˈfiːt/,,v. 击败；战胜,"We didn't want to defeat our classmates in the game, just to have fun.（2023 上海中考）",100+
216,electric,/ɪˈlektrɪk/,,adj.电的电动的,This kind of electric bike is very popular among people in Shanghai.（2024 上海中考）,100+
217,fierce,/fɪəs/,,adj. 激烈的；,There was a fierce wind last night and many trees were blown down.（2024 上海中考模拟）,100+
218,glory,/ˈɡlɔːri/,,n. 光荣,He won glory for our school in the national sports competition.（2023 上海中考）,100+
219,industry,/ˈɪndəstri/,,n. 工业；产业,The manufacturing industry is very developed in the eastern part of China.（2024 上海中考模拟）,100+
220,literature,/ˈlɪtrətʃə(r)/,,n. 文学,He likes to read literature works written by famous writers in his free time.（2024 上海中考模拟）,100+
221,material,/məˈtɪəriəl/,,n. 材料,We need some building material to repair the old house in the village.（2024 上海中考模拟）,80+
222,notice,/ˈnəʊtɪs/,,n. 通告v. 注意,Please notice the important words in the passage when you read it.（2021 上海中考）,80+
223,operate,/ˈɒpəreɪt/,,v. 动手术；操作,You need to learn how to operate the machine before you use it.（2022 上海中考）,80+
224,passenger,/ˈpæsɪndʒə(r)/,,n. 乘客,A passenger on the bus helped the old man to take his seat.（2023 上海中考）,80+
225,reality,/riˈæləti/,,n. 现实,We should face the reality bravely when we meet difficulties in life.（2024 上海中考）,80+
226,scold,/skəʊld/,,v. 责骂；训斥,Don't scold the child because he just made a small mistake carelessly.（2021 上海中考模拟）,80+
227,tendency,/ˈtendənsi/,,n. 趋势；趋向,There is a growing tendency for students to learn English online now.（2024 上海中考模拟）,80+
